行政區,站數,"測定
站日數",平均值,空 氣 品 質 指 標 (AQI),,,,,,,,,,,
,,,,0~50,,51~100,,101~150,,151~200,,201~300,,301~500,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
基隆市,1,365,55,185,50.69,162,44.38,16,4.38,2,0.55,0,0,0,0
臺北市,5,1817,57,888,48.87,830,45.68,85,4.68,13,0.72,1,0.06,0,0
新北市,9,3285,60,1527,46.48,1460,44.44,258,7.85,39,1.19,1,0.03,0,0
桃園市,4,1456,60,701,48.15,613,42.1,118,8.1,22,1.51,2,0.14,0,0
新竹市,1,365,57,190,52.06,145,39.73,28,7.67,2,0.55,0,0,0,0
新竹縣,2,729,62,293,40.19,372,51.03,60,8.23,4,0.55,0,0,0,0
苗栗縣,2,730,62,288,39.45,376,51.51,63,8.63,3,0.41,0,0,0,0
臺中市,5,1824,68,691,37.88,823,45.12,270,14.8,40,2.19,0,0,0,0
彰化縣,2,730,69,250,34.25,359,49.18,111,15.21,10,1.37,0,0,0,0
南投縣,2,730,84,160,21.92,332,45.48,193,26.44,45,6.16,0,0,0,0
雲林縣,2,729,84,160,21.95,332,45.54,196,26.89,41,5.62,0,0,0,0
嘉義市,1,365,83,84,23.01,153,41.92,109,29.86,19,5.21,0,0,0,0
嘉義縣,2,730,77,199,27.26,338,46.3,170,23.29,23,3.15,0,0,0,0
臺南市,4,1458,78,393,26.96,651,44.65,367,25.17,47,3.22,0,0,0,0
高雄市,8,2920,85,743,25.45,1135,38.87,849,29.08,191,6.54,2,0.07,0,0
